Species	Status	min_age	max_age
Puma_concolor	extant	0.3	1.8
Puma	extant	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Puma_concolor	extant	0.3	1.8
Felinae	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon	extinct	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Miracinonyx	extinct	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Miracinonyx_studeri	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Puma_concolor	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Felinae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Puma_concolor	extant	0.3	1.8
Lynx_canadensis	extinct	0.3	1.8
Chasmaporthetes_ossifragus	extinct	0.3	1.8
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Lynx	extant	1.8	4.9
Panthera_onca	extant	1.8	4.9
Homotherium	extinct	1.8	4.9
Lynx	extant	0.012	1.8
Homotherium	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Chasmaporthetes_ossifragus	extinct	0.3	1.8
Panthera_onca	extant	0.012	1.8
Felidae	extant	0.012	1.8
Felidae	extant	0.3	1.8
Miracinonyx_studeri	extinct	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Homotherium	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Homotherium	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Homotherium	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
Felinae	extinct	0.3	1.8
Miracinonyx_inexpectatus	extinct	1.8	4.9
Lynx	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Smilodon_gracilis	extinct	0.3	1.8
Homotherium	extinct	0.3	1.8
Machairodontinae	extinct	0.3	1.8
Smilodon	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Lynx_rufus	extant	0.3	4.9
Miracinonyx_inexpectatus	extinct	0.012	0.3
Homotherium	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Leopardus_wiedii	extant	0.012	1.8
Felidae	extant	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
Felidae	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Crocuta	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Lynx	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Homotherium	extinct	0.3	1.8
Panthera_onca	extant	0.012	0.3
Puma_concolor	extant	0.012	0.3
Leopardus_pardalis	extant	0.012	0.3
Lynx_rufus	extant	0.012	0.3
Homotherium_serum	extinct	0.012	0.3
Panthera_onca	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Panthera	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
